Debug results for cursor_motion:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)
 2377727.000 0.992187500000       5111         128.00
 2381823.000 0.992968750000       5115         142.22
 2385919.000 0.993750000000       5119         160.00
 2392063.000 0.994531250000       5124         182.86
 2396159.000 0.995312500000       5128         213.33
 2400255.000 0.996093750000       5131         256.00
 2402303.000 0.996484375000       5136         284.44
 2402303.000 0.996875000000       5136         320.00
 2410495.000 0.997265625000       5138         365.71
 2420735.000 0.997656250000       5139         426.67
 2426879.000 0.998046875000       5141         512.00
 2428927.000 0.998242187500       5143         568.89
 2428927.000 0.998437500000       5143         640.00
 2445311.000 0.998632812500       5144         731.43
 2467839.000 0.998828125000       5145         853.33
 2488319.000 0.999023437500       5146        1024.00
 2508799.000 0.999121093750       5147        1137.78
 2508799.000 0.999218750000       5147        1280.00
 2514943.000 0.999316406250       5148        1462.86
 2514943.000 0.999414062500       5148        1706.67
 2516991.000 0.999511718750       5149        2048.00
 2516991.000 0.999560546875       5149        2275.56
 2516991.000 0.999609375000       5149        2560.00
 2650111.000 0.999658203125       5150        2925.71
 2650111.000 0.999707031250       5150        3413.33
 2650111.000 0.999755859375       5150        4096.00
 2650111.000 0.999780273437       5150        4551.11
 2650111.000 0.999804687500       5150        5120.00
 2699263.000 0.999829101563       5151        5851.43
 2699263.000 1.000000000000       5151
#[Mean    =  1880750.444, StdDeviation   =   217257.189]
#[Max     =  2699263.000, Total count    =         5151]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :medium_cells
Debug results for medium_cells:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

15327231.000 0.000000000000          1           1.00
16154623.000 0.100000000000         62           1.11
16375807.000 0.200000000000        120           1.25
16588799.000 0.300000000000        179           1.43
16736255.000 0.400000000000        238           1.67
16859135.000 0.500000000000        303           2.00
16908287.000 0.550000000000        329           2.22
16973823.000 0.600000000000        371           2.50
17006591.000 0.650000000000        392           2.86
17055743.000 0.700000000000        422           3.33
17088511.000 0.750000000000        451           4.00
17104895.000 0.775000000000        464           4.44
17121279.000 0.800000000000        479           5.00
17154047.000 0.825000000000        499           5.71
17170431.000 0.850000000000        514           6.67
17186815.000 0.875000000000        526           8.00
17203199.000 0.887500000000        533           8.89
17219583.000 0.900000000000        537          10.00
17252351.000 0.912500000000        548          11.43
17268735.000 0.925000000000        550          13.33
17301503.000 0.937500000000        559          16.00
17317887.000 0.943750000000        565          17.78
17317887.000 0.950000000000        565          20.00
17350655.000 0.956250000000        572          22.86
17350655.000 0.962500000000        572          26.67
17367039.000 0.968750000000        576          32.00
17399807.000 0.971875000000        580          35.56
17399807.000 0.975000000000        580          40.00
17448959.000 0.978125000000        582          45.71
17465343.000 0.981250000000        584          53.33
17481727.000 0.984375000000        585          64.00
17498111.000 0.985937500000        586          71.11
17514495.000 0.987500000000        588          80.00
17514495.000 0.989062500000        588          91.43
17530879.000 0.990625000000        589         106.67
17547263.000 0.992187500000        590         128.00
17547263.000 0.992968750000        590         142.22
17645567.000 0.993750000000        592         160.00
17645567.000 0.994531250000        592         182.86
17645567.000 0.995312500000        592         213.33
17645567.000 0.996093750000        592         256.00
17645567.000 0.996484375000        592         284.44
17711103.000 0.996875000000        593         320.00
17711103.000 0.997265625000        593         365.71
17711103.000 0.997656250000        593         426.67
17711103.000 0.998046875000        593         512.00
17711103.000 0.998242187500        593         568.89
18333695.000 0.998437500000        594         640.00
18333695.000 1.000000000000        594
#[Mean    = 16771996.013, StdDeviation   =   408889.972]
#[Max     = 18333695.000, Total count    =          594]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :scrolling
Debug results for scrolling:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

50364415.000 0.000000000000          1           1.00
52101119.000 0.100000000000         20           1.11
52264959.000 0.200000000000         31           1.25
52494335.000 0.300000000000         46           1.43
52789247.000 0.400000000000         61           1.67
52985855.000 0.500000000000         78           2.00
53084159.000 0.550000000000         85           2.22
53182463.000 0.600000000000         91           2.50
53411839.000 0.650000000000         99           2.86
53510143.000 0.700000000000        106           3.33
53673983.000 0.750000000000        115           4.00
53739519.000 0.775000000000        118           4.44
53772287.000 0.800000000000        121           5.00
53837823.000 0.825000000000        125           5.71
53936127.000 0.850000000000        130           6.67
54001663.000 0.875000000000        133           8.00
54034431.000 0.887500000000        135           8.89
54067199.000 0.900000000000        138          10.00
54067199.000 0.912500000000        138          11.43
54132735.000 0.925000000000        140          13.33
54231039.000 0.937500000000        142          16.00
54296575.000 0.943750000000        144          17.78
54296575.000 0.950000000000        144          20.00
54362111.000 0.956250000000        145          22.86
54394879.000 0.962500000000        146          26.67
54427647.000 0.968750000000        147          32.00
54427647.000 0.971875000000        147          35.56
54591487.000 0.975000000000        148          40.00
54591487.000 0.978125000000        148          45.71
54624255.000 0.981250000000        150          53.33
54624255.000 0.984375000000        150          64.00
54624255.000 0.985937500000        150          71.11
54624255.000 0.987500000000        150          80.00
54624255.000 0.989062500000        150          91.43
54624255.000 0.990625000000        150         106.67
54624255.000 0.992187500000        150         128.00
54624255.000 0.992968750000        150         142.22
54755327.000 0.993750000000        151         160.00
54755327.000 1.000000000000        151
#[Mean    = 53005929.113, StdDeviation   =   793664.334]
#[Max     = 54755327.000, Total count    =          151]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :scrolling_bottom_region
Debug results for scrolling_bottom_region:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

123404287.000 0.000000000000          1           1.00
125108223.000 0.100000000000          8           1.11
126025727.000 0.200000000000         18           1.25
126550015.000 0.300000000000         23           1.43
127729663.000 0.400000000000         31           1.67
128712703.000 0.500000000000         39           2.00
129630207.000 0.550000000000         42           2.22
131596287.000 0.600000000000         46           2.50
132448255.000 0.650000000000         50           2.86
133562367.000 0.700000000000         55           3.33
133955583.000 0.750000000000         59           4.00
133955583.000 0.775000000000         59           4.44
134217727.000 0.800000000000         62           5.00
134348799.000 0.825000000000         63           5.71
134479871.000 0.850000000000         66           6.67
134610943.000 0.875000000000         67           8.00
134742015.000 0.887500000000         69           8.89
134742015.000 0.900000000000         69          10.00
134873087.000 0.912500000000         71          11.43
134873087.000 0.925000000000         71          13.33
135659519.000 0.937500000000         73          16.00
135659519.000 0.943750000000         73          17.78
135659519.000 0.950000000000         73          20.00
135659519.000 0.956250000000         73          22.86
135790591.000 0.962500000000         74          26.67
135790591.000 0.968750000000         74          32.00
135790591.000 0.971875000000         74          35.56
136708095.000 0.975000000000         75          40.00
136708095.000 0.978125000000         75          45.71
136708095.000 0.981250000000         75          53.33
136708095.000 0.984375000000         75          64.00
136708095.000 0.985937500000         75          71.11
137363455.000 0.987500000000         76          80.00
137363455.000 1.000000000000         76
#[Mean    = 129783700.211, StdDeviation   =  3885334.866]
#[Max     = 137363455.000, Total count    =           76]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :scrolling_bottom_small_region
Debug results for scrolling_bottom_small_region:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

153485311.000 0.000000000000          1           1.00
155582463.000 0.100000000000          7           1.11
157024255.000 0.200000000000         13           1.25
157548543.000 0.300000000000         20           1.43
158072831.000 0.400000000000         26           1.67
158466047.000 0.500000000000         32           2.00
158728191.000 0.550000000000         35           2.22
158859263.000 0.600000000000         38           2.50
159514623.000 0.650000000000         41           2.86
159776767.000 0.700000000000         44           3.33
160432127.000 0.750000000000         48           4.00
160563199.000 0.775000000000         49           4.44
160694271.000 0.800000000000         50           5.00
161218559.000 0.825000000000         52           5.71
161873919.000 0.850000000000         53           6.67
162136063.000 0.875000000000         55           8.00
163315711.000 0.887500000000         56           8.89
163315711.000 0.900000000000         56          10.00
163839999.000 0.912500000000         57          11.43
164626431.000 0.925000000000         58          13.33
165281791.000 0.937500000000         59          16.00
